species,source,n,P99,P99.5,P99.9
Corynebacterium_Kroppenstedtii,MARISMA,3,100.0,100.0,100.0
Corynebacterium_Kroppenstedtii,MS-UMG,5,60.0,60.0,60.0
Corynebacterium_Lipophiloflavum,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Macginleyi,DRIAMS,2,100.0,100.0,100.0
Corynebacterium_Macginleyi,MARISMA,1,100.0,100.0,100.0
Corynebacterium_Minutissimum,MS-UMG,5,60.0,60.0,60.0
Corynebacterium_Mucifaciens,DRIAMS,4,100.0,100.0,100.0
Corynebacterium_Mucifaciens,MARISMA,4,100.0,100.0,100.0
Corynebacterium_Pilbarense,MS-UMG,1,100.0,100.0,100.0
Corynebacterium_Propinquum,DRIAMS,9,100.0,100.0,100.0
Corynebacterium_Propinquum,MARISMA,17,100.0,100.0,100.0
Corynebacterium_Propinquum,MS-UMG,16,87.5,87.5,87.5
Corynebacterium_Pseudodiphtheriticum,DRIAMS,14,100.0,100.0,100.0
Corynebacterium_Pseudodiphtheriticum,MARISMA,5,100.0,100.0,100.0
Corynebacterium_Pseudodiphtheriticum,MS-UMG,17,82.4,82.4,82.4
Corynebacterium_Pseudotuberculosis,RKI,4,100.0,100.0,100.0
Corynebacterium_Pyruviciproducens,DRIAMS,8,100.0,100.0,100.0
Corynebacterium_Resistens,DRIAMS,1,100.0,100.0,100.0
Corynebacterium_Resistens,MS-UMG,5,100.0,100.0,100.0
Corynebacterium_Riegelii,DRIAMS,2,100.0,100.0,100.0
Corynebacterium_Simulans,DRIAMS,26,100.0,100.0,100.0
Corynebacterium_Simulans,MARISMA,3,100.0,100.0,100.0
Corynebacterium_Simulans,MS-UMG,22,90.9,90.9,90.9
